Season No.,Season,Club,Name,Position,Nationatility
1,2020/21,Leeds United,Ian Poveda-Ocampo,Forward,England
1,2020/21,Leeds United,Patrick Bamford,Forward,England
1,2020/21,Leeds United,Tyler Roberts,Forward,Wales
1,2020/21,Leeds United,Hélder Costa,Forward,Angola
1,2020/21,Leeds United,Ryan Edmondson,Forward,England
1,2020/21,Leeds United,Benjamin White,Defender,England
1,2020/21,Leeds United,Liam McCarron,Midfielder,Scotland
1,2020/21,Leeds United,Jordan Stevens,Midfielder,England
1,2020/21,Leeds United,Alfie McCalmont,Midfielder,Northern Ireland
1,2020/21,Leeds United,Conor Shaughnessy,Midfielder,Ireland
1,2020/21,Leeds United,Oliver Casey,Defender,England
1,2020/21,Leeds United,Bryce Hosannah,Defender,England
1,2020/21,Leeds United,Mateusz Bogusz,Midfielder,Poland
1,2020/21,Leeds United,Elia Caprile,Goalkeeper,Italy
1,2020/21,Leeds United,Leif Davis,Defender,England
1,2020/21,Leeds United,Laurens De Bock,Defender,Belgium
1,2020/21,Leeds United,Joe Gelhardt,Forward,England
1,2020/21,Leeds United,Jack Harrison,Midfielder,England
1,2020/21,Leeds United,Rodrigo,Forward,Spain
1,2020/21,Leeds United,Robin Koch,Defender,Germany
1,2020/21,Leeds United,Charlie Cresswell,Defender,England
1,2020/21,Leeds United,Diego Llorente,Defender,Spain
1,2020/21,Leeds United,Raphinha,Forward,Brazil
1,2020/21,Leeds United,Hélder Costa,Forward,Angola
1,2020/21,Leeds United,Jack Jenkins,Midfielder,England
1,2020/21,Leeds United,Niall Huggins,Forward,Wales
1,2020/21,Leeds United,Sam Greenwood,Forward,England
1,2020/21,Leeds United,Illan Meslier,Goalkeeper,France
1,2020/21,Leeds United,Elia Caprile,Goalkeeper,Italy
1,2020/21,Leeds United,Leif Davis,Defender,England
1,2020/21,Leeds United,Oliver Casey,Defender,England
1,2020/21,Leeds United,Gaetano Berardi,Defender,Switzerland
1,2020/21,Leeds United,Crysencio Summerville,Midfielder,Netherlands
1,2020/21,Leeds United,Cody Drameh,Defender,England
1,2020/21,Leicester City,Kasper Schmeichel,Goalkeeper,Denmark
1,2020/21,Leicester City,Danny Ward,Goalkeeper,Wales
1,2020/21,Leicester City,Eldin Jakupovic,Goalkeeper,Switzerland
1,2020/21,Leicester City,James Justin,Defender,England
1,2020/21,Leicester City,Ben Chilwell,Defender,England
1,2020/21,Leicester City,Çaglar Söyüncü,Defender,Turkey
1,2020/21,Leicester City,Wes Morgan,Defender,Jamaica
1,2020/21,Leicester City,Jonny Evans,Defender,Northern Ireland
1,2020/21,Leicester City,Filip Benkovic,Defender,Croatia
1,2020/21,Leicester City,Daniel Amartey,Defender,Ghana
1,2020/21,Leicester City,Ricardo Pereira,Defender,Portugal
1,2020/21,Leicester City,Christian Fuchs,Defender,Austria
1,2020/21,Leicester City,Demarai Gray,Midfielder,England
1,2020/21,Leicester City,Youri Tielemans,Midfielder,Belgium
1,2020/21,Leicester City,James Maddison,Midfielder,England
1,2020/21,Leicester City,Marc Albrighton,Midfielder,England
1,2020/21,Leicester City,Harvey Barnes,Midfielder,England
1,2020/21,Leicester City,Hamza Choudhury,Midfielder,England
1,2020/21,Leicester City,Matty James,Midfielder,England
1,2020/21,Leicester City,Wilfred Ndidi,Midfielder,Nigeria
1,2020/21,Leicester City,Dennis Praet,Midfielder,Belgium
1,2020/21,Leicester City,Jamie Vardy,Forward,England
1,2020/21,Leicester City,Islam Slimani,Forward,Algeria
1,2020/21,Leicester City,Kelechi Iheanacho,Forward,Nigeria
1,2020/21,Leicester City,Ayoze Pérez,Forward,Spain
1,2020/21,Leicester City,Ryan Bennett,Defender,England
1,2020/21,Leicester City,George Hirst,Forward,England
1,2020/21,Leicester City,Nampalys Mendy,Midfielder,Senegal
1,2020/21,Leicester City,Darnell Johnson,Defender,England
1,2020/21,Leicester City,George Thomas,Forward,Wales
1,2020/21,Leicester City,Luke Thomas,Defender,England
1,2020/21,Leicester City,Vontae Daley-Campbell,Defender,England
1,2020/21,Leicester City,Josh Knight,Defender,England
1,2020/21,Leicester City,Sidnei Tavares,Midfielder,Portugal
1,2020/21,Leicester City,Kiernan Dewsbury-Hall,Midfielder,England
1,2020/21,Leicester City,Thakgalo Leshabela,Midfielder,South Africa
1,2020/21,Leicester City,Admiral Muskwe,Forward,Zimbabwe
1,2020/21,Leicester City,Josh Felix-Eppiah,Forward,Belgium
1,2020/21,Leicester City,Timothy Castagne,Defender,Belgium
1,2020/21,Leicester City,Jakub Stolarczyk,Goalkeeper,Poland
1,2020/21,Leicester City,Ethan Fitzhugh,Midfielder,England
1,2020/21,Leicester City,Wanya Madavidua,Midfielder,England
1,2020/21,Leicester City,Cengiz Ünder,Midfielder,Turkey
1,2020/21,Leicester City,Wesley Fofana,Defender,France
1,2020/21,Leicester City,Ben Nelson,Defender,England
1,2020/21,Leicester City,Shane Flynn,Midfielder,Ireland
1,2020/21,Leicester City,Jakub Stolarczyk,Goalkeeper,Poland
1,2020/21,Leicester City,Luke Thomas,Defender,England
1,2020/21,Leicester City,Vontae Daley-Campbell,Defender,England
1,2020/21,Leicester City,Sidnei Tavares,Midfielder,Portugal
1,2020/21,Leicester City,Nampalys Mendy,Midfielder,Senegal
1,2020/21,Leicester City,Ethan Fitzhugh,Midfielder,England
1,2020/21,Leicester City,Thakgalo Leshabela,Midfielder,South Africa
1,2020/21,Leicester City,Rachid Ghezzal,Midfielder,Algeria
1,2020/21,Leicester City,Adrien Silva,Midfielder,Portugal
1,2020/21,Leicester City,Fousseni Diabaté,Forward,Mali
1,2020/21,Leicester City,Thanawat Suengchitthawon,Midfielder,Thailand
1,2020/21,Leicester City,Tawanda Maswanhise,Midfielder,England
1,2020/21,Liverpool,Loris Karius,Goalkeeper,Germany
1,2020/21,Liverpool,Alisson,Goalkeeper,Brazil
1,2020/21,Liverpool,Adrián,Goalkeeper,Spain
1,2020/21,Liverpool,Caoimhin Kelleher,Goalkeeper,Ireland
1,2020/21,Liverpool,Virgil van Dijk,Defender,Netherlands
1,2020/21,Liverpool,Joseph Gomez,Defender,England
1,2020/21,Liverpool,Andrew Robertson,Defender,Scotland
1,2020/21,Liverpool,Joel Matip,Defender,Cameroon
1,2020/21,Liverpool,Trent Alexander-Arnold,Defender,England
1,2020/21,Liverpool,Neco Williams,Defender,Wales
1,2020/21,Liverpool,Fabinho,Midfielder,Brazil
1,2020/21,Liverpool,Georginio Wijnaldum,Midfielder,Netherlands
1,2020/21,Liverpool,James Milner,Midfielder,England
1,2020/21,Liverpool,Naby Keïta,Midfielder,Guinea
1,2020/21,Liverpool,Jordan Henderson,Midfielder,England
1,2020/21,Liverpool,Alex Oxlade-Chamberlain,Midfielder,England
1,2020/21,Liverpool,Marko Grujic,Midfielder,Serbia
1,2020/21,Liverpool,Curtis Jones,Midfielder,England
1,2020/21,Liverpool,Harry Wilson,Midfielder,Wales
1,2020/21,Liverpool,Harvey Elliott,Midfielder,England
1,2020/21,Liverpool,Roberto Firmino,Forward,Brazil
1,2020/21,Liverpool,Sadio Mané,Forward,Senegal
1,2020/21,Liverpool,Mohamed Salah,Forward,Egypt
1,2020/21,Liverpool,Takumi Minamino,Forward,Japan
1,2020/21,Liverpool,Xherdan Shaqiri,Midfielder,Switzerland
1,2020/21,Liverpool,Rhian Brewster,Forward,England
1,2020/21,Liverpool,Divock Origi,Forward,Belgium
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Winterbottom,Goalkeeper,England
1,2020/21,Liverpool,Vítezslav Jaros,Goalkeeper,Czech Republic
1,2020/21,Liverpool,Thomas Hill,Forward,England
1,2020/21,Liverpool,Dejan Lovren,Defender,Croatia
1,2020/21,Liverpool,Luis Longstaff,Midfielder,England
1,2020/21,Liverpool,Leighton Clarkson,Midfielder,England
1,2020/21,Liverpool,Adam Lallana,Midfielder,England
1,2020/21,Liverpool,Elijah Dixon-Bonner,Midfielder,England
1,2020/21,Liverpool,Morgan Boyes,Defender,Wales
1,2020/21,Liverpool,Thomas Clayton,Defender,Scotland
1,2020/21,Liverpool,Jake Cain,Midfielder,England
1,2020/21,Liverpool,Sepp van den Berg,Defender,Netherlands
1,2020/21,Liverpool,Layton Stewart,Forward,England
1,2020/21,Liverpool,Jack Bearne,Midfielder,England
1,2020/21,Liverpool,Andy Lonergan,Goalkeeper,England
1,2020/21,Liverpool,Joseph Hardy,Forward,England
1,2020/21,Liverpool,Yasser Larouci,Defender,France
1,2020/21,Liverpool,Tony Gallacher,Defender,Scotland
1,2020/21,Liverpool,James Norris,Defender,England
1,2020/21,Liverpool,Adam Lewis,Midfielder,England
1,2020/21,Liverpool,Liam Millar,Forward,Canada
1,2020/21,Liverpool,Billy Koumetio,Defender,France
1,2020/21,Liverpool,Konstantinos Tsimikas,Defender,Greece
1,2020/21,Liverpool,Nathaniel Phillips,Defender,England
1,2020/21,Liverpool,Ki-Jana Hoever,Defender,Netherlands
1,2020/21,Liverpool,Sheyi Ojo,Midfielder,England
1,2020/21,Liverpool,Taiwo Awoniyi,Forward,Nigeria
1,2020/21,Liverpool,Thiago,Midfielder,Spain
1,2020/21,Liverpool,Diogo Jota,Forward,Portugal
1,2020/21,Liverpool,Rhys Williams,Defender,England
1,2020/21,Liverpool,Ben Davies,Defender,England
1,2020/21,Liverpool,Ozan Kabak,Defender,Turkey
1,2020/21,Liverpool,Billy Koumetio,Defender,France
1,2020/21,Liverpool,Jake Cain,Midfielder,England
1,2020/21,Liverpool,Leighton Clarkson,Midfielder,England
1,2020/21,Liverpool,Kamil Grabara,Goalkeeper,Poland
1,2020/21,Liverpool,Liam Hughes,Goalkeeper,Northern Ireland
1,2020/21,Liverpool,Jakub Ojrzynski,Goalkeeper,Poland
1,2020/21,Liverpool,Harvey Davies,Goalkeeper,England
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Liverpool,Ben Woodburn,Forward,Wales
1,2020/21,Manchester City,Claudio Bravo,Goalkeeper,Chile
1,2020/21,Manchester City,Ederson,Goalkeeper,Brazil
1,2020/21,Manchester City,Nathan Aké,Defender,Netherlands
1,2020/21,Manchester City,Pedro Porro,Defender,Spain
1,2020/21,Manchester City,Kyle Walker,Defender,England
1,2020/21,Manchester City,John Stones,Defender,England
1,2020/21,Manchester City,Oleksandr Zinchenko,Defender,Ukraine
1,2020/21,Manchester City,Aymeric Laporte,Defender,Spain
1,2020/21,Manchester City,Benjamin Mendy,Defender,France
1,2020/21,Manchester City,João Cancelo,Defender,Portugal
1,2020/21,Manchester City,Nicolás Otamendi,Defender,Argentina
1,2020/21,Manchester City,Eric García,Defender,Spain
1,2020/21,Manchester City,Ilkay Gündogan,Midfielder,Germany
1,2020/21,Manchester City,Rodri,Midfielder,Spain
1,2020/21,Manchester City,Kevin De Bruyne,Midfielder,Belgium
1,2020/21,Manchester City,Bernardo Silva,Midfielder,Portugal
1,2020/21,Manchester City,David Silva,Midfielder,Spain
1,2020/21,Manchester City,Fernandinho,Midfielder,Brazil
1,2020/21,Manchester City,Phil Foden,Midfielder,England
1,2020/21,Manchester City,Tommy Doyle,Midfielder,England
1,2020/21,Manchester City,Ferran Torres,Forward,Spain
1,2020/21,Manchester City,Raheem Sterling,Forward,England
1,2020/21,Manchester City,Gabriel Jesus,Forward,Brazil
1,2020/21,Manchester City,Sergio Agüero,Forward,Argentina
1,2020/21,Manchester City,Riyad Mahrez,Forward,Algeria
1,2020/21,Manchester City,Erik Palmer-Brown,Defender,United States
1,2020/21,Manchester City,Alpha Richard Dionkou,Defender,Senegal
1,2020/21,Manchester City,Cole Palmer,Midfielder,England
1,2020/21,Manchester City,Taylor Harwood-Bellis,Defender,England
1,2020/21,Manchester City,Adrián Bernabé,Midfielder,Spain
1,2020/21,Manchester City,Leroy Sané,Forward,Germany
1,2020/21,Manchester City,Zack Steffen,Goalkeeper,United States
1,2020/21,Manchester City,Pablo Moreno,Forward,Spain
1,2020/21,Manchester City,Liam Delap,Forward,England
1,2020/21,Manchester City,Felix Nmecha,Midfielder,England
1,2020/21,Manchester City,Rúben Dias,Defender,Portugal
1,2020/21,Manchester City,Scott Carson,Goalkeeper,England
1,2020/21,Manchester City,James Trafford,Goalkeeper,England
1,2020/21,Manchester City,Mix Diskerud,Midfielder,United States
1,2020/21,Manchester City,Luke Mbete,Defender,England
1,2020/21,Manchester City,Claudio Gomes,Midfielder,France
1,2020/21,Manchester City,Tommy Doyle,Midfielder,England
1,2020/21,Manchester City,Cole Palmer,Midfielder,England
1,2020/21,Manchester City,Adrián Bernabé,Midfielder,Spain
1,2020/21,Manchester City,Arijanet Muric,Goalkeeper,Kosovo
1,2020/21,Manchester United,David de Gea,Goalkeeper,Spain
1,2020/21,Manchester United,Lee Grant,Goalkeeper,England
1,2020/21,Manchester United,Sergio Romero,Goalkeeper,Argentina
1,2020/21,Manchester United,Victor Lindelöf,Defender,Sweden
1,2020/21,Manchester United,Eric Bailly,Defender,Cote D’Ivoire
1,2020/21,Manchester United,Phil Jones,Defender,England
1,2020/21,Manchester United,Harry Maguire,Defender,England
1,2020/21,Manchester United,Marcos Rojo,Defender,Argentina
1,2020/21,Manchester United,Diogo Dalot,Defender,Portugal
1,2020/21,Manchester United,Luke Shaw,Defender,England
1,2020/21,Manchester United,Timothy Fosu-Mensah,Defender,Netherlands
1,2020/21,Manchester United,Aaron Wan-Bissaka,Defender,England
1,2020/21,Manchester United,Axel Tuanzebe,Defender,England
1,2020/21,Manchester United,Ethan Laird,Defender,England
1,2020/21,Manchester United,Brandon Williams,Defender,England
1,2020/21,Manchester United,Teden Mengi,Defender,England
1,2020/21,Manchester United,Paul Pogba,Midfielder,France
1,2020/21,Manchester United,Juan Mata,Midfielder,Spain
1,2020/21,Manchester United,Jesse Lingard,Midfielder,England
1,2020/21,Manchester United,Andreas Pereira,Midfielder,Brazil
1,2020/21,Manchester United,Fred,Midfielder,Brazil
1,2020/21,Manchester United,Bruno Fernandes,Midfielder,Portugal
1,2020/21,Manchester United,Daniel James,Midfielder,Wales
1,2020/21,Manchester United,Nemanja Matic,Midfielder,Serbia
1,2020/21,Manchester United,James Garner,Midfielder,England
1,2020/21,Manchester United,Scott McTominay,Midfielder,Scotland
1,2020/21,Manchester United,Tahith Chong,Midfielder,Netherlands
1,2020/21,Manchester United,Ethan Galbraith,Midfielder,Northern Ireland
1,2020/21,Manchester United,Anthony Martial,Forward,France
1,2020/21,Manchester United,Marcus Rashford,Forward,England
1,2020/21,Manchester United,Odion Ighalo,Forward,Nigeria
1,2020/21,Manchester United,Mason Greenwood,Forward,England
1,2020/21,Manchester United,Max Taylor,Defender,England
1,2020/21,Manchester United,Matej Kovar,Goalkeeper,Czech Republic
1,2020/21,Manchester United,Dylan Levitt,Midfielder,Wales
1,2020/21,Manchester United,Arnau Puigmal,Midfielder,Spain
1,2020/21,Manchester United,Di'Shon Bernard,Defender,England
1,2020/21,Manchester United,D'Mani Mellor,Forward,England
1,2020/21,Manchester United,Alexis Sánchez,Forward,Chile
1,2020/21,Manchester United,Dean Henderson,Goalkeeper,England
1,2020/21,Manchester United,Donny van de Beek,Midfielder,Netherlands
1,2020/21,Manchester United,Anthony Elanga,Forward,Sweden
1,2020/21,Manchester United,Alex Telles,Defender,Brazil
1,2020/21,Manchester United,Edinson Cavani,Forward,Uruguay
1,2020/21,Manchester United,Facundo Pellistri,Midfielder,Uruguay
1,2020/21,Manchester United,Amad Diallo,Forward,Cote D’Ivoire
1,2020/21,Manchester United,Amad Diallo,Forward,Cote D’Ivoire
1,2020/21,Manchester United,Chris Smalling,Defender,England
1,2020/21,Manchester United,Shola Shoretire,Forward,England
1,2020/21,Manchester United,Nathan Bishop,Goalkeeper,England
1,2020/21,Manchester United,Ethan Galbraith,Midfielder,Northern Ireland
1,2020/21,Manchester United,Anthony Elanga,Forward,Sweden
1,2020/21,Manchester United,William Fish,Defender,England
1,2020/21,Manchester United,Mason Greenwood,Forward,England
1,2020/21,Manchester United,Hannibal Mejbri,Midfielder,Tunisia
1,2020/21,Newcastle United,Mark Gillespie,Goalkeeper,England
1,2020/21,Newcastle United,Martin Dúbravka,Goalkeeper,Slovakia
1,2020/21,Newcastle United,Karl Darlow,Goalkeeper,England
1,2020/21,Newcastle United,Ciaran Clark,Defender,Ireland
1,2020/21,Newcastle United,Paul Dummett,Defender,Wales
1,2020/21,Newcastle United,Fabian Schär,Defender,Switzerland
1,2020/21,Newcastle United,Jamaal Lascelles,Defender,England
1,2020/21,Newcastle United,Emil Krafth,Defender,Sweden
1,2020/21,Newcastle United,Federico Fernández,Defender,Argentina
1,2020/21,Newcastle United,Javier Manquillo,Defender,Spain
1,2020/21,Newcastle United,Florian Lejeune,Defender,France
1,2020/21,Newcastle United,DeAndre Yedlin,Defender,United States
1,2020/21,Newcastle United,Jacob Murphy,Midfielder,England
1,2020/21,Newcastle United,Jonjo Shelvey,Midfielder,England
1,2020/21,Newcastle United,Matt Ritchie,Midfielder,Scotland
1,2020/21,Newcastle United,Isaac Hayden,Midfielder,England
1,2020/21,Newcastle United,Miguel Almirón,Midfielder,Paraguay
1,2020/21,Newcastle United,Christian Atsu,Midfielder,Ghana
1,2020/21,Newcastle United,Sean Longstaff,Midfielder,England
1,2020/21,Newcastle United,Andy Carroll,Forward,England
1,2020/21,Newcastle United,Joelinton,Forward,Brazil
1,2020/21,Newcastle United,Allan Saint-Maximin,Forward,France
1,2020/21,Newcastle United,Dwight Gayle,Forward,England
1,2020/21,Newcastle United,Yoshinori Muto,Forward,Japan
1,2020/21,Newcastle United,Danny Rose,Defender,England
1,2020/21,Newcastle United,Valentino Lazaro,Midfielder,Austria
1,2020/21,Newcastle United,Nabil Bentaleb,Midfielder,Algeria
1,2020/21,Newcastle United,Matthew Longstaff,Midfielder,England
1,2020/21,Newcastle United,Thomas Allan,Forward,England
1,2020/21,Newcastle United,Elias Sorensen,Forward,Denmark
1,2020/21,Newcastle United,Lewis Cass,Defender,England
1,2020/21,Newcastle United,Jack Young,Midfielder,England
1,2020/21,Newcastle United,Jeff Hendrick,Midfielder,Ireland
1,2020/21,Newcastle United,Callum Wilson,Forward,England
1,2020/21,Newcastle United,Ryan Fraser,Midfielder,Scotland
1,2020/21,Newcastle United,Jamal Lewis,Defender,Northern Ireland
1,2020/21,Newcastle United,Daniel Langley,Goalkeeper,England
1,2020/21,Newcastle United,Henri Saivet,Midfielder,Senegal
1,2020/21,Newcastle United,Daniel Barlaser,Midfielder,England
1,2020/21,Newcastle United,Elliot Anderson,Midfielder,Scotland
1,2020/21,Newcastle United,Joseph Willock,Midfielder,England
1,2020/21,Newcastle United,Matthew Longstaff,Midfielder,England
1,2020/21,Sheffield United,Wes Foderingham,Goalkeeper,England
1,2020/21,Sheffield United,Michael Verrips,Goalkeeper,Netherlands
1,2020/21,Sheffield United,Simon Moore,Goalkeeper,England
1,2020/21,Sheffield United,George Baldock,Defender,England
1,2020/21,Sheffield United,Enda Stevens,Defender,Ireland
1,2020/21,Sheffield United,Jack O'Connell,Defender,England
1,2020/21,Sheffield United,Chris Basham,Defender,England
1,2020/21,Sheffield United,John Egan,Defender,Ireland
1,2020/21,Sheffield United,Jack Robinson,Defender,England
1,2020/21,Sheffield United,Kean Bryan,Defender,England
1,2020/21,Sheffield United,John Fleck,Midfielder,Scotland
1,2020/21,Sheffield United,John Lundstram,Midfielder,England
1,2020/21,Sheffield United,Luke Freeman,Midfielder,England
1,2020/21,Sheffield United,Oliver Norwood,Midfielder,Northern Ireland
1,2020/21,Sheffield United,Ben Osborn,Midfielder,England
1,2020/21,Sheffield United,Sander Berge,Midfielder,Norway
1,2020/21,Sheffield United,Oliver McBurnie,Forward,Scotland
1,2020/21,Sheffield United,Billy Sharp,Forward,England
1,2020/21,Sheffield United,David McGoldrick,Forward,Ireland
1,2020/21,Sheffield United,Lys Mousset,Forward,France
1,2020/21,Sheffield United,Richairo Zivkovic,Forward,Netherlands
1,2020/21,Sheffield United,Phil Jagielka,Defender,England
1,2020/21,Sheffield United,Kieron Freeman,Defender,Wales
1,2020/21,Sheffield United,Leon Clarke,Forward,England
1,2020/21,Sheffield United,Aaron Ramsdale,Goalkeeper,England
1,2020/21,Sheffield United,Jack Rodwell,Midfielder,England
1,2020/21,Sheffield United,Sam Graham,Defender,England
1,2020/21,Sheffield United,Kyron Gordon,Defender,England
1,2020/21,Sheffield United,Rhys Norrington-Davies,Defender,Wales
1,2020/21,Sheffield United,George Broadbent,Midfielder,England
1,2020/21,Sheffield United,Regan Slater,Midfielder,England
1,2020/21,Sheffield United,Zak Brunt,Midfielder,England
1,2020/21,Sheffield United,Antwoine Hackford,Forward,England
1,2020/21,Sheffield United,Max Lowe,Defender,England
1,2020/21,Sheffield United,Ethan Ampadu,Defender,Wales
1,2020/21,Sheffield United,Jayden Bogle,Defender,England
1,2020/21,Sheffield United,Oliver Burke,Midfielder,Scotland
1,2020/21,Sheffield United,Ismaila Coulibaly,Midfielder,Mali
1,2020/21,Sheffield United,Rhian Brewster,Forward,England
1,2020/21,Sheffield United,Iliman Ndiaye,Midfielder,France
1,2020/21,Sheffield United,Phil Jagielka,Defender,England
1,2020/21,Sheffield United,Kyron Gordon,Defender,England
1,2020/21,Sheffield United,Zak Brunt,Midfielder,England
1,2020/21,Sheffield United,Frankie Maguire,Midfielder,England
1,2020/21,Sheffield United,Antwoine Hackford,Forward,England
1,2020/21,Sheffield United,Jake Eastwood,Goalkeeper,England
1,2020/21,Sheffield United,Daniel Jebbison,Forward,England
1,2020/21,Sheffield United,Harry Boyes,Defender,England
1,2020/21,Sheffield United,Femi Seriki,Defender,England
1,2020/21,Sheffield United,Harry Boyes,Defender,England
1,2020/21,Sheffield United,Femi Seriki,Midfielder,England
1,2020/21,Sheffield United,William Osula,Forward,Denmark
1,2020/21,Southampton,Alex McCarthy,Goalkeeper,England
1,2020/21,Southampton,Angus Gunn,Goalkeeper,England
1,2020/21,Southampton,Fraser Forster,Goalkeeper,England
1,2020/21,Southampton,Jannik Vestergaard,Defender,Denmark
1,2020/21,Southampton,Jack Stephens,Defender,England
1,2020/21,Southampton,Ryan Bertrand,Defender,England
1,2020/21,Southampton,Jake Vokins,Defender,England
1,2020/21,Southampton,Jan Bednarek,Defender,Poland
1,2020/21,Southampton,Yan Valery,Defender,France
1,2020/21,Southampton,Moussa Djenepo,Midfielder,Mali
1,2020/21,Southampton,Oriol Romeu,Midfielder,Spain
1,2020/21,Southampton,James Ward-Prowse,Midfielder,England
1,2020/21,Southampton,Stuart Armstrong,Midfielder,Scotland
1,2020/21,Southampton,Sofiane Boufal,Midfielder,Morocco
1,2020/21,Southampton,Nathan Redmond,Midfielder,England
1,2020/21,Southampton,Pierre-Emile Højbjerg,Midfielder,Denmark
1,2020/21,Southampton,William Smallbone,Midfielder,Ireland
1,2020/21,Southampton,Shane Long,Forward,Ireland
1,2020/21,Southampton,Danny Ings,Forward,England
1,2020/21,Southampton,Che Adams,Forward,Scotland
1,2020/21,Southampton,Michael Obafemi,Forward,Ireland
1,2020/21,Southampton,Guido Carrillo,Forward,Argentina
1,2020/21,Southampton,Kevin Danso,Defender,Austria
1,2020/21,Southampton,Kyle Walker-Peters,Defender,England
1,2020/21,Southampton,Harry Lewis,Goalkeeper,England
1,2020/21,Southampton,Nathan Tella,Midfielder,England
1,2020/21,Southampton,Kayne Ramsay,Defender,England
1,2020/21,Southampton,Will Ferry,Midfielder,Ireland
1,2020/21,Southampton,Jacob Maddox,Midfielder,England
1,2020/21,Southampton,Daniel N'Lundulu,Forward,England
1,2020/21,Southampton,Maya Yoshida,Defender,Japan
1,2020/21,Southampton,Kyle Walker-Peters,Defender,England
1,2020/21,Southampton,Mohammed Salisu,Defender,Ghana
1,2020/21,Southampton,Ibrahima Diallo,Midfielder,France
1,2020/21,Southampton,Theo Walcott,Forward,England
1,2020/21,Southampton,Kgaogelo Chauke,Midfielder,England
1,2020/21,Southampton,Caleb Watts,Midfielder,Australia
1,2020/21,Southampton,Allan Tchaptchet,Defender,France
1,2020/21,Southampton,Ryan Finnigan,Midfielder,England
1,2020/21,Southampton,Alexandre Jankewitz,Midfielder,Switzerland
1,2020/21,Southampton,Takumi Minamino,Forward,Japan
1,2020/21,Southampton,Harry Lewis,Goalkeeper,England
1,2020/21,Southampton,Kayne Ramsay,Defender,England
1,2020/21,Southampton,Nathan Tella,Midfielder,England
1,2020/21,Southampton,Will Ferry,Midfielder,Ireland
1,2020/21,Southampton,Daniel N'Lundulu,Forward,England
1,2020/21,Southampton,Wesley Hoedt,Defender,Netherlands
1,2020/21,Tottenham Hotspur,Hugo Lloris,Goalkeeper,France
1,2020/21,Tottenham Hotspur,Paulo Gazzaniga,Goalkeeper,Argentina
1,2020/21,Tottenham Hotspur,Toby Alderweireld,Defender,Belgium
1,2020/21,Tottenham Hotspur,Davinson Sánchez,Defender,Colombia
1,2020/21,Tottenham Hotspur,Juan Foyth,Defender,Argentina
1,2020/21,Tottenham Hotspur,Serge Aurier,Defender,Cote D’Ivoire
1,2020/21,Tottenham Hotspur,Ben Davies,Defender,Wales
1,2020/21,Tottenham Hotspur,Cameron Carter-Vickers,Defender,United States
1,2020/21,Tottenham Hotspur,Japhet Tanganga,Defender,England
1,2020/21,Tottenham Hotspur,Harry Winks,Midfielder,England
1,2020/21,Tottenham Hotspur,Erik Lamela,Midfielder,Argentina
1,2020/21,Tottenham Hotspur,Eric Dier,Defender,England
1,2020/21,Tottenham Hotspur,Moussa Sissoko,Midfielder,France
1,2020/21,Tottenham Hotspur,Ryan Sessegnon,Midfielder,England
1,2020/21,Tottenham Hotspur,Dele Alli,Midfielder,England
1,2020/21,Tottenham Hotspur,Lucas Moura,Forward,Brazil
1,2020/21,Tottenham Hotspur,Tanguy Ndombele,Midfielder,France
1,2020/21,Tottenham Hotspur,Oliver Skipp,Midfielder,England
1,2020/21,Tottenham Hotspur,Gedson Fernandes,Midfielder,Portugal
1,2020/21,Tottenham Hotspur,Jack Clarke,Forward,England
1,2020/21,Tottenham Hotspur,Son Heung-Min,Forward,South Korea
